name,lat,long,uniqueid,province,district(old),f_type,agency,coordinates,sourceofcoordinates,last updated
MANDERA DISTRICT HOSPITAL,3.93837,41.86451,50054,NORTH EASTERN,MANDERA,Clinic,MOH,3.93837 41.86451,Clinic,"Thu, 28 Jul 2016 21:14:42 +0000"
MANGA SUB-DISTRICT HOSPITAL,-0.61318,34.83616,60177,NYANZA,NYAMIRA,Clinic,MOH,-0.61318 34.83616,Clinic,"Thu, 28 Jul 2016 21:14:43 +0000"
MANYALA SUB-DISTRICT HOSPITAL,0.1604,34.45262,80132,WESTERN,BUTERE/MUMIAS,Clinic,MOH,0.1604 34.45262,Clinic,"Thu, 28 Jul 2016 21:14:46 +0000"
MANYATTA SDA MISSION HOSPITAL,-0.50587,34.61956,60082,NYANZA,HOMA BAY,Clinic,MISS,-0.50587 34.61956,Clinic,"Thu, 28 Jul 2016 21:14:49 +0000"
MARAGUA DISTRICT HOSPITAL,-0.78693,37.12663,10193,CENTRAL,MARAGUA,Clinic,MOH,-0.78693 37.12663,Clinic,"Thu, 28 Jul 2016 21:14:51 +0000"
MARALAL DISTRICT HOSPITAL,1.09632,36.69934,70756,RIFT VALLEY,SAMBURU,Clinic,MOH,1.09632 36.69934,Clinic,"Thu, 28 Jul 2016 21:14:53 +0000"
MARIAKANI BARRACKS HOSPITAL,-3.81018,39.44453,20024,COAST,KILIFI,Clinic,OTHER MIN,-3.81018 39.44453,Clinic,"Thu, 28 Jul 2016 21:14:55 +0000"
MARIGAT SUB-DISTRICT HOSPITAL,0.4695,35.97981,70060,RIFT VALLEY,BARINGO,General Hospital,MOH,0.4695 35.97981,General Hospital,"Thu, 28 Jul 2016 21:14:58 +0000"
MARSABIT DISTRICT HOSPITAL,2.32385,37.99085,30421,EASTERN,MARSABIT,General Hospital,MOH,2.32385 37.99085,General Hospital,"Thu, 28 Jul 2016 21:15:01 +0000"
MARY HELP OF THE SICK  MISSION HOSPITAL,-1.04406,37.06698,10475,CENTRAL,THIKA,General Hospital,MISS,-1.04406 37.06698,General Hospital,"Thu, 28 Jul 2016 21:15:03 +0000"
MARY IMMACULATE MISSION HOSPITAL (MWEIGA),-0.32815,36.90432,10389,CENTRAL,NYERI,General Hospital,MISS,-0.32815 36.90432,General Hospital,"Thu, 28 Jul 2016 21:15:04 +0000"
MASENO MISSION HOSPITAL,0.00348,34.61018,60235,NYANZA,KISUMU,General Hospital,MISS,0.00348 34.61018,General Hospital,"Thu, 28 Jul 2016 21:15:07 +0000"
MASENO MISSION HOSPITAL,-0.01507,34.58311,80307,WESTERN,VIHIGA,General Hospital,MISS,-0.01507 34.58311,General Hospital,"Thu, 28 Jul 2016 21:15:07 +0000"
MASIMBA SUB-DISTRICT HOSPITAL,-0.85873,34.9404,60120,NYANZA,CENTRAL KISII,General Hospital,MOH,-0.85873 34.9404,General Hospital,"Thu, 28 Jul 2016 21:15:09 +0000"
MATATA MISSION HOSPITAL,-0.50373,34.73811,60397,NYANZA,RACHUONYO,General Hospital,MISS,-0.50373 34.73811,General Hospital,"Thu, 28 Jul 2016 21:15:13 +0000"
MATER MISERICORDIAE MISSION HOSPITAL,-1.30709,36.83386,40128,NAIROBI,NAIROBI,General Hospital,MISS,-1.30709 36.83386,General Hospital,"Thu, 28 Jul 2016 21:15:13 +0000"
MATHARI MENTAL HOSPITAL,-1.25949,36.8443,40133,NAIROBI,NAIROBI,General Hospital,MOH,-1.25949 36.8443,General Hospital,"Thu, 28 Jul 2016 21:15:15 +0000"
MATIRI MISSION HOSPITAL,-0.31894,37.90212,30625,EASTERN,THARAKA,General Hospital,MISS,-0.31894 37.90212,2,"Thu, 28 Jul 2016 21:15:17 +0000"
MATUNGU HEALTH CENTRE - MUMIAS DISTRICT HOSP,0.38719,34.47628,80133,WESTERN,BUTERE/MUMIAS,General Hospital,MOH,0.38719 34.47628,General Hospital,"Thu, 28 Jul 2016 21:15:20 +0000"
MATUU SUB-DISTRICT HOSPITAL,-1.14827,37.54746,30266,EASTERN,MACHAKOS,General Hospital,MOH,-1.14827 37.54746,General Hospital,"Thu, 28 Jul 2016 21:15:22 +0000"
MAUA METHODIST HOSPITAL,0.231,37.94188,30543,EASTERN,MERU NORTH,General Hospital,MISS,0.231 37.94188,General Hospital,"Thu, 28 Jul 2016 21:15:23 +0000"
MAUTUMA SUB-DISTRICT HOSPITAL,0.72482,34.98169,80230,WESTERN,LUGARI,General Hospital,MOH,0.72482 34.98169,General Hospital,"Thu, 28 Jul 2016 21:15:25 +0000"
MBAGATHI DISTRICT HOSPITAL,-1.30793,36.80224,40134,NAIROBI,NAIROBI,General Hospital,MOH,-1.30793 36.80224,General Hospital,"Thu, 28 Jul 2016 21:15:28 +0000"
MBEERE DISTRICT HOSPITAL,-0.57523,37.64099,30450,EASTERN,MBEERE,General Hospital,MOH,-0.57523 37.64099,3,"Thu, 28 Jul 2016 21:15:30 +0000"
ST LUKE'S MISSION HOSPITAL,-1.05181,37.08127,10499,CENTRAL,THIKA,General Hospital,MISS,-1.05181 37.08127,General Hospital,"Thu, 28 Jul 2016 21:23:03 +0000"
ST MARY'S MISSION HOSPITAL-NRB,-1.212944,36.793714,40310,NAIROBI,NAIROBI,General Hospital,MISS,-1.212944 36.793714,2,"Thu, 28 Jul 2016 21:23:05 +0000"
ST. CAMILUS HOSPITAL KARUNGU,-0.8123,34.1983,60336,NYANZA,MIGORI,General Hospital,MISS,-0.8123 34.1983,2,"Thu, 28 Jul 2016 21:23:10 +0000"
ST. ELIZABETH MISSION HOSPITAL (LWAK),-0.13782,34.35698,60029,NYANZA,BONDO,Hospital,MISS,-0.13782 34.35698,Hospital,"Thu, 28 Jul 2016 21:23:12 +0000"
ST. GABRIEL CATHOLIC HOSPITAL,-1.03172,36.91904,10530,CENTRAL,THIKA,Hospital,MISS,-1.03172 36.91904,Hospital,"Thu, 28 Jul 2016 21:23:14 +0000"
ST. JOSEPH MISSION HOSPITAL (KILGORIS),-1.00244,34.8776,70825,RIFT VALLEY,TRANS MARA,Hospital,MISS,-1.00244 34.8776,2,"Thu, 28 Jul 2016 21:23:16 +0000"
ST. JOSEPH OMBO HOSPITAL,-1.070833,34.474722,60338,NYANZA,MIGORI,Hospital,MISS,-1.070833 34.474722,Hospital,"Thu, 28 Jul 2016 21:23:17 +0000"
ST. LUCIE'S MISSION HOSPITAL,-0.33559,37.64685,30616,EASTERN,MERU SOUTH,Hospital,MISS,-0.33559 37.64685,3,"Thu, 28 Jul 2016 21:23:18 +0000"
ST. LUKE COTTAGE HOSPITAL,,,30784,EASTERN,MERU CENTRAL,Hospital,MISS,"","","Thu, 28 Jul 2016 21:23:19 +0000"
ST. LUKE'S KALOLENI HOSPITAL,-3.8166,39.6334,20038,COAST,KILIFI,Hospital,MISS,-3.8166 39.6334,Hospital,"Thu, 28 Jul 2016 21:23:19 +0000"
TIGANIA CATHOLIC HOSPITAL,0.20715,37.78382,30564,EASTERN,MERU NORTH,Hospital,MISS,0.20715 37.78382,2,"Thu, 28 Jul 2016 21:24:01 +0000"
TUMUTUMU MISSION HOSPITAL,-0.48549,37.07946,10421,CENTRAL,NYERI,Hospital,MISS,-0.48549 37.07946,Hospital,"Thu, 28 Jul 2016 21:24:18 +0000"
UKUMBUSHO CPK MISSION HOSPITAL,-4.06804,39.68143,20245,COAST,MOMBASA,Hospital,MISS,-4.06804 39.68143,2,"Thu, 28 Jul 2016 21:24:26 +0000"
VICTORIA  AMENITY HOSPITAL,-0.10876,34.75025,60260,NYANZA,KISUMU,Hospital,MOH,-0.10876 34.75025,Hospital,"Thu, 28 Jul 2016 21:24:40 +0000"
VIHIGA DISTRICT HOSPITAL,0.08365,34.72989,80298,WESTERN,VIHIGA,Hospital,MOH,0.08365 34.72989,Hospital,"Thu, 28 Jul 2016 21:24:40 +0000"
WAJIR DISTRICT HOSPITAL,1.75042,40.06172,50085,NORTH EASTERN,WAJIR,Hospital,MOH,1.75042 40.06172,Hospital,"Thu, 28 Jul 2016 21:24:46 +0000"
WAMBA MISSION HOSPITAL,0.9782,37.32391,70776,RIFT VALLEY,SAMBURU,Hospital,MISS,0.9782 37.32391,Hospital,"Thu, 28 Jul 2016 21:24:49 +0000"
WEBUYE DISTRICT HOSPITAL,0.60729,34.77196,80063,WESTERN,BUNGOMA,Hospital,MOH,0.60729 34.77196,Hospital,"Thu, 28 Jul 2016 21:24:54 +0000"
WESU DISTRICT HOSPITAL,-3.40885,38.34216,20294,COAST,TAITA TAVETA,Hospital,MOH,-3.40885 38.34216,Hospital,"Thu, 28 Jul 2016 21:24:58 +0000"
YALA SUB-DISTRICT HOSPITAL,0.10102,34.5375,60467,NYANZA,SIAYA,Hospital,MOH,0.10102 34.5375,Hospital,"Thu, 28 Jul 2016 21:25:05 +0000"
ZIWA SUB-DISTRICT HOSPITAL,0.84895,35.25657,71064,RIFT VALLEY,UASIN GISHU,Hospital,MOH,0.84895 35.25657,Hospital,"Thu, 28 Jul 2016 21:25:09 +0000"
